Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for linux-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 16:36:53 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2017-05-07T20:21:59.757+0800: 15.238: [GC (Allocation Failure) [PSYoungGen: 694184K->265K(696320K)] 712933K->19157K(2094592K), 0.0006147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:21:59.946+0800: 15.427: [GC (Allocation Failure) [PSYoungGen: 694017K->318K(696832K)] 712909K->19210K(2095104K), 0.0007780 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2017-05-07T20:22:00.137+0800: 15.618: [GC (Allocation Failure) [PSYoungGen: 694580K->392K(696320K)] 713472K->19284K(2094592K), 0.0005435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:00.330+0800: 15.811: [GC (Allocation Failure) [PSYoungGen: 694630K->392K(696832K)] 713522K->19284K(2095104K), 0.0006641 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:00.522+0800: 16.003: [GC (Allocation Failure) [PSYoungGen: 695141K->360K(696832K)] 714033K->19252K(2095104K), 0.0005517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:00.711+0800: 16.193: [GC (Allocation Failure) [PSYoungGen: 695144K->466K(696832K)] 714036K->19359K(2095104K), 0.0006878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:00.900+0800: 16.382: [GC (Allocation Failure) [PSYoungGen: 695238K->477K(696832K)] 714131K->19369K(2095104K), 0.0006386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:01.092+0800: 16.573: [GC (Allocation Failure) [PSYoungGen: 695261K->339K(697344K)] 714153K->19332K(2095616K), 0.0005458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:01.280+0800: 16.761: [GC (Allocation Failure) [PSYoungGen: 695635K->424K(696832K)] 714628K->19417K(2095104K), 0.0012327 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2017-05-07T20:22:01.474+0800: 16.955: [GC (Allocation Failure) [PSYoungGen: 695690K->434K(697344K)] 714682K->19427K(2095616K), 0.0007077 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
